dataset_id,dataset_name,dataset_name_,test_accuracy
115,PickupGestureWiimoteZ,lstmfcn_64_cells_weights/PickupGestureWiimoteZ,0.000000
116,PigAirwayPressure,lstmfcn_64_cells_weights/PigAirwayPressure,0.014423
117,PigArtPressure,lstmfcn_64_cells_weights/PigArtPressure,0.028846
118,PigCVP,lstmfcn_64_cells_weights/PigCVP,0.014423
119,PLAID,lstmfcn_64_cells_weights/PLAID,0.126629
120,PowerCons,lstmfcn_64_cells_weights/PowerCons,0.600000
121,Rock,lstmfcn_64_cells_weights/Rock,0.000000
122,SemgHandGenderCh2,lstmfcn_64_cells_weights/SemgHandGenderCh2,0.438333
123,SemgHandMovementCh2,lstmfcn_64_cells_weights/SemgHandMovementCh2,0.251111
124,SemgHandSubjectCh2,lstmfcn_64_cells_weights/SemgHandSubjectCh2,0.168889
125,ShakeGestureWiimoteZ,lstmfcn_64_cells_weights/ShakeGestureWiimoteZ,0.000000
126,SmoothSubspace,lstmfcn_64_cells_weights/SmoothSubspace,0.680000
127,UMD,lstmfcn_64_cells_weights/UMD,0.472222
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.017903
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.285714
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.532552
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.088384
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.000000
5,Wine,lstmfcn_64_cells_weights/Wine,0.000000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.017241
8,Beef,lstmfcn_64_cells_weights/Beef,0.000000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.460432
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.536232
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.309353
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.000000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.462253
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.000000
